gs_timestamp;timestamp;received_packets_qty;rssi;satellites;longitude;latitude;altitude;temperature;pressure;humidity
2019-06-13 14:44:56.051516;431430;77;-57;5;21.065939;52.503902;73;438;100098.96;22
2019-06-13 14:45:01.051097;436438;78;-52;5;21.065939;52.503910;73;442;100100.52;23
2019-06-13 14:45:06.051725;441447;79;-62;5;21.065941;52.503910;73;443;100102.73;22
2019-06-13 14:45:11.052352;446456;80;-58;5;21.065950;52.503910;74;446;100099.06;21
2019-06-13 14:45:16.050985;451463;81;-59;5;21.065956;52.503910;74;446;100102.73;21
2019-06-13 14:45:20.752933;456173;82;-64;6;21.065966;52.503918;76;446;100102.09;21
2019-06-13 14:45:25.754557;461183;83;-61;6;21.065958;52.503906;76;449;100097.92;21
2019-06-13 14:45:30.754188;466193;84;-53;6;21.065958;52.503899;76;450;100100.20;21
2019-06-13 14:45:35.754823;471201;85;-57;6;21.065968;52.503902;80;449;100099.28;21
2019-06-13 14:45:40.752451;476209;86;-54;6;21.065968;52.503906;80;446;100093.83;21
2019-06-13 14:45:45.753130;481219;87;-52;6;21.065968;52.503906;80;445;100101.08;22
2019-06-13 14:45:50.753706;486228;88;-56;6;21.065968;52.503906;80;447;100099.34;21
2019-06-13 14:45:55.753336;491237;89;-55;6;21.065968;52.503906;81;451;100103.02;20
2019-06-13 14:46:00.753964;496247;90;-51;6;21.065968;52.503906;81;450;100108.08;20
2019-06-13 14:46:05.753593;501256;91;-63;6;21.065966;52.503914;82;452;100105.34;20
2019-06-13 14:46:10.754221;506265;92;-60;6;21.065966;52.503914;82;452;100106.80;21
2019-06-13 14:46:15.753856;511275;93;-57;6;21.065966;52.503914;82;448;100103.39;21
2019-06-13 14:46:20.753481;516283;94;-73;6;21.065966;52.503914;82;442;100097.09;21
2019-06-13 14:46:25.753111;521292;95;-51;6;21.065960;52.503910;82;441;100098.91;21
2019-06-13 14:46:30.754736;526304;96;-45;6;21.065960;52.503910;82;442;100103.36;21
2019-06-13 14:46:35.753368;531311;97;-52;6;21.065962;52.503910;83;440;100095.50;21
2019-06-13 14:46:40.753996;536320;98;-49;6;21.065962;52.503910;83;442;100098.88;22
2019-06-13 14:46:45.754624;541331;99;-54;6;21.065962;52.503910;83;436;100098.09;22
2019-06-13 14:46:50.755251;546342;100;-50;6;21.065962;52.503910;83;432;100100.80;22
2019-06-13 14:46:55.756875;551352;101;-55;6;21.065962;52.503910;83;432;100100.73;22
2019-06-13 14:47:00.754511;556360;102;-58;6;21.065960;52.503899;82;430;100100.69;22
2019-06-13 14:47:05.756136;561371;103;-64;6;21.065960;52.503899;82;427;100096.97;22
2019-06-13 14:47:10.754782;566379;104;-72;6;21.065960;52.503899;82;426;100100.62;22
2019-06-13 14:47:15.755396;571389;105;-61;6;21.065964;52.503902;83;425;100104.11;22
2019-06-13 14:47:20.755026;576398;106;-56;6;21.065964;52.503902;83;426;100098.02;23
2019-06-13 14:47:25.754661;581407;107;-54;6;21.065964;52.503902;83;425;100093.02;23
2019-06-13 14:47:30.755284;586417;108;-57;6;21.065964;52.503902;83;428;100102.05;24
2019-06-13 14:47:35.752919;591424;109;-55;5;21.065964;52.503902;83;431;100105.17;24
2019-06-13 14:47:40.753547;596434;110;-57;6;21.065960;52.503899;83;431;100102.22;23
gs_timestamp;timestamp;received_packets_qty;rssi;satellites;longitude;latitude;altitude;temperature;pressure;humidity
2019-06-13 14:47:50.752902;606454;112;-50;6;21.065962;52.503906;84;432;100090.20;23
2019-06-13 14:47:55.752532;611463;113;-52;6;21.065956;52.503902;85;424;100093.20;24
2019-06-13 14:48:00.752162;616472;114;-45;6;21.065958;52.503902;86;428;100093.22;24
2019-06-13 14:48:05.753787;621482;115;-53;6;21.065968;52.503902;87;430;100098.44;25
2019-06-13 14:48:10.753417;626493;116;-54;6;21.065968;52.503895;88;429;100100.81;24
2019-06-13 14:48:15.754045;631503;117;-53;6;21.065968;52.503895;89;428;100108.08;27
2019-06-13 14:48:20.753675;636512;118;-58;6;21.065971;52.503910;90;426;100104.87;24
2019-06-13 14:48:25.755299;641523;119;-59;6;21.065952;52.503937;90;426;100100.34;24
2019-06-13 14:48:30.755958;646534;120;-55;6;21.065945;52.503979;91;427;100101.34;23
2019-06-13 14:48:35.754592;651542;121;-67;6;21.065968;52.504036;93;428;100112.09;24
2019-06-13 14:48:40.753225;656550;122;-63;6;21.065981;52.504078;94;428;100111.06;23
2019-06-13 14:48:45.755846;661562;123;-71;6;21.065983;52.504086;94;425;100115.57;23
2019-06-13 14:48:50.755444;666572;124;-62;6;21.065985;52.504093;94;425;100109.55;23
2019-06-13 14:48:55.754077;671580;125;-57;6;21.065989;52.504112;93;420;100108.53;23
2019-06-13 14:49:00.754705;676590;126;-67;6;21.065994;52.504128;94;420;100104.88;23
2019-06-13 14:49:05.754385;681600;127;-65;6;21.065990;52.504131;94;422;100110.48;23
2019-06-13 14:49:10.753355;686608;128;-60;6;21.065994;52.504124;94;422;100109.66;23
2019-06-13 14:49:15.754624;691619;129;-67;6;21.065996;52.504124;94;422;100106.35;24
2019-06-13 14:49:20.756218;696629;130;-61;6;21.065996;52.504124;94;423;100111.48;23
2019-06-13 14:49:25.754899;701638;131;-60;6;21.065996;52.504120;95;425;100109.42;23
2019-06-13 14:49:30.754592;706648;132;-61;6;21.066002;52.504108;95;421;100107.75;23
2019-06-13 14:49:35.753145;711654;133;-82;6;21.065996;52.504108;95;420;100110.38;23
2019-06-13 14:49:40.753740;716664;134;-60;6;21.065987;52.504147;95;420;100107.36;23
2019-06-13 14:49:45.752491;721673;135;-57;6;21.065989;52.504124;96;419;100091.78;23
2019-06-13 14:49:50.753997;726682;136;-58;6;21.065952;52.504093;97;415;99993.07;23
2019-06-13 14:49:55.755622;731694;137;-55;6;21.065773;52.504154;99;413;99919.34;24
2019-06-13 14:50:00.758765;736706;138;-73;6;21.065519;52.504265;102;410;99858.35;24
2019-06-13 14:50:05.758411;741714;139;-65;6;21.065254;52.504372;103;408;99818.64;24
2019-06-13 14:50:10.759055;746724;140;-79;6;21.065041;52.504486;105;407;99753.83;24
2019-06-13 14:50:15.759121;751734;141;-79;6;21.064875;52.504642;108;406;99674.80;24
2019-06-13 14:50:20.758439;756742;142;-87;6;21.064655;52.504822;112;403;99605.61;24
2019-06-13 14:50:25.758069;761751;143;-82;6;21.064383;52.504990;115;403;99568.58;24
2019-06-13 14:50:30.759614;766761;144;-92;6;21.064114;52.505154;118;402;99516.90;24
2019-06-13 14:50:35.757251;771768;145;-75;6;21.063847;52.505318;121;401;99461.72;24
2019-06-13 14:50:40.756848;776777;146;-77;6;21.063589;52.505493;125;399;99412.03;25
2019-06-13 14:50:45.758472;781786;147;-72;6;21.063383;52.505688;129;399;99368.41;25
2019-06-13 14:50:50.760129;786798;148;-77;6;21.063189;52.505905;132;399;99331.58;25
2019-06-13 14:50:55.764745;791811;149;-76;6;21.062929;52.506111;136;395;99284.25;25
2019-06-13 14:51:00.758395;796813;150;-75;6;21.062687;52.506298;141;394;99227.11;25
2019-06-13 14:51:05.757991;801821;151;-78;6;21.062475;52.506477;144;395;99187.67;25
2019-06-13 14:51:10.758650;806830;152;-79;6;21.062269;52.506660;148;394;99141.11;25
2019-06-13 14:51:15.758359;811840;153;-91;6;21.062084;52.506844;152;394;99087.31;25
2019-06-13 14:51:20.760981;816851;154;-75;6;21.061907;52.507030;157;394;99029.39;25
2019-06-13 14:51:25.758609;821857;155;-73;6;21.061718;52.507225;161;392;98965.16;25
2019-06-13 14:51:30.760169;826867;156;-86;6;21.061537;52.507423;165;393;98886.80;25
2019-06-13 14:51:35.759760;831875;157;-77;6;21.061356;52.507595;169;391;98804.20;25
2019-06-13 14:51:40.757396;836882;158;-76;6;21.061142;52.507797;174;391;98718.84;25
2019-06-13 14:51:45.758023;841891;159;-72;6;21.060934;52.507992;179;390;98677.54;25
2019-06-13 14:51:50.758651;846901;160;-78;6;21.060755;52.508194;184;389;98620.06;26
2019-06-13 14:51:55.758281;851909;161;-85;6;21.060610;52.508423;189;388;98561.18;26
2019-06-13 14:52:00.758908;856918;162;-77;6;21.060478;52.508648;195;387;98495.22;26
2019-06-13 14:52:05.757541;861926;163;-74;6;21.060322;52.508865;199;387;98445.59;26
2019-06-13 14:52:10.759166;866936;164;-74;6;21.060184;52.509083;204;387;98391.12;26
2019-06-13 14:52:15.759793;871946;165;-92;6;21.060034;52.509331;210;387;98325.09;26
2019-06-13 14:52:20.757429;876955;166;-93;6;21.059843;52.509552;216;385;98256.24;26
2019-06-13 14:52:25.760055;881966;167;-81;6;21.059628;52.509769;221;385;98175.80;26
2019-06-13 14:52:30.760679;886977;168;-86;6;21.059435;52.509979;227;384;98094.03;26
2019-06-13 14:52:35.758313;891986;169;-80;6;21.059284;52.510216;233;384;97974.57;26
2019-06-13 14:52:40.758941;896997;170;-81;6;21.059111;52.510422;240;384;97880.89;26
2019-06-13 14:52:45.756576;902007;171;-80;5;21.058937;52.510643;247;385;97798.68;26
2019-06-13 14:52:50.760621;907022;172;-85;6;21.058750;52.510853;255;384;97699.97;26
2019-06-13 14:52:55.759254;912032;173;-93;6;21.058577;52.511059;265;385;97598.33;26
2019-06-13 14:53:00.759882;917045;174;-81;6;21.058380;52.511284;275;384;97483.30;26
2019-06-13 14:53:05.759512;922056;175;-71;6;21.058189;52.511532;283;382;97390.98;26
2019-06-13 14:53:10.760141;927069;176;-84;6;21.058018;52.511799;292;381;97306.94;26
2019-06-13 14:53:15.760767;932083;177;-77;6;21.057880;52.512070;301;380;97217.70;26
2019-06-13 14:53:20.758402;937093;178;-75;6;21.057676;52.512321;308;380;97139.69;26
2019-06-13 14:53:25.760027;942107;179;-75;6;21.057491;52.512585;315;380;97057.34;26
2019-06-13 14:53:30.760655;947121;180;-77;6;21.057310;52.512875;323;378;96974.94;26
2019-06-13 14:53:35.759287;952133;181;-74;6;21.057127;52.513157;329;376;96877.62;27
2019-06-13 14:53:40.757920;957145;182;-85;6;21.056973;52.513432;335;375;96803.73;27
2019-06-13 14:53:45.758547;962158;183;-73;6;21.056799;52.513721;342;376;96735.53;27
2019-06-13 14:53:50.763164;967173;184;-82;7;21.056673;52.514004;351;376;96688.56;27
2019-06-13 14:53:55.761797;972185;185;-77;7;21.056555;52.514286;360;375;96651.23;27
2019-06-13 14:54:00.764422;977198;186;-77;7;21.056416;52.514584;368;374;96587.82;27
2019-06-13 14:54:05.763052;982207;187;-82;7;21.056286;52.514885;376;375;96546.89;27
2019-06-13 14:54:10.762682;987217;188;-85;7;21.056128;52.515190;383;374;96488.32;27
2019-06-13 14:54:15.762312;992227;189;-84;7;21.055979;52.515491;392;375;96459.42;27
2019-06-13 14:54:20.763952;997237;190;-83;7;21.055889;52.515793;400;373;96395.22;27
2019-06-13 14:54:25.761572;1002245;191;-82;7;21.055826;52.516098;408;374;96347.09;27
2019-06-13 14:54:30.763197;1007256;192;-80;7;21.055744;52.516399;412;371;96307.41;27
2019-06-13 14:54:35.763825;1012265;193;-96;7;21.055658;52.516716;417;372;96290.95;27
2019-06-13 14:54:40.762477;1017275;194;-90;7;21.055544;52.517029;421;371;96276.94;27
2019-06-13 14:54:45.763085;1022285;195;-83;7;21.055466;52.517376;423;371;96261.70;27
2019-06-13 14:54:50.763712;1027294;196;-91;7;21.055462;52.517784;444;372;96268.08;27
2019-06-13 14:54:55.761361;1032302;197;-81;6;21.055359;52.518101;448;372;96285.33;27
2019-06-13 14:55:00.760978;1037311;198;-89;6;21.055237;52.518398;449;372;96271.70;27
2019-06-13 14:55:05.760624;1042320;199;-83;6;21.055111;52.518688;449;372;96272.09;27
2019-06-13 14:55:10.761235;1047330;200;-93;6;21.054989;52.518967;449;370;96266.91;27
2019-06-13 14:55:15.759868;1052338;201;-87;6;21.054873;52.519257;449;371;96262.91;27
2019-06-13 14:55:20.759498;1057348;202;-95;6;21.054770;52.519539;449;371;96277.33;27
2019-06-13 14:55:25.761123;1062359;203;-101;6;21.054642;52.519817;448;372;96293.34;27
2019-06-13 14:55:30.761750;1067369;204;-90;6;21.054514;52.520088;448;373;96315.01;27
2019-06-13 14:55:35.760383;1072377;205;-97;6;21.054373;52.520363;448;374;96316.61;27
2019-06-13 14:55:40.760013;1077387;206;-87;6;21.054264;52.520657;448;370;96307.00;27
2019-06-13 14:55:45.761638;1082396;207;-104;6;21.054190;52.520947;448;371;96305.39;27
2019-06-13 14:55:50.761268;1087405;208;-107;6;21.054119;52.521225;447;370;96313.81;27
2019-06-13 14:55:55.759901;1092414;209;-80;6;21.054064;52.521500;447;371;96313.42;27
2019-06-13 14:56:00.761526;1097423;210;-95;6;21.054014;52.521767;447;370;96311.81;27
2019-06-13 14:56:05.759161;1102431;211;-83;6;21.053970;52.522041;447;371;96300.19;27
2019-06-13 14:56:10.760786;1107441;212;-78;6;21.053930;52.522308;448;371;96301.39;27
2019-06-13 14:56:15.760416;1112449;213;-89;6;21.053892;52.522564;448;372;96288.94;27
2019-06-13 14:56:20.760046;1117458;214;-79;6;21.053827;52.522827;449;372;96280.91;27
2019-06-13 14:56:25.760674;1122467;215;-78;6;21.053759;52.523083;450;373;96254.44;26
2019-06-13 14:56:30.761332;1127477;216;-81;6;21.053724;52.523342;452;372;96225.97;27
2019-06-13 14:56:35.759965;1132484;217;-80;6;21.053684;52.523605;453;372;96192.70;27
2019-06-13 14:56:40.760592;1137494;218;-81;6;21.053648;52.523869;454;372;96164.20;27
2019-06-13 14:56:45.760191;1142502;219;-90;6;21.053617;52.524128;456;372;96120.10;27
2019-06-13 14:56:50.760819;1147512;220;-85;6;21.053595;52.524372;458;372;96065.57;27
2019-06-13 14:56:55.759452;1152519;221;-98;6;21.053526;52.524643;460;372;96028.25;27
2019-06-13 14:57:00.761076;1157530;222;-81;6;21.053429;52.524925;462;372;96016.23;27
2019-06-13 14:57:05.759709;1162537;223;-80;6;21.053329;52.525223;465;373;95986.47;26
2019-06-13 14:57:10.758342;1167544;224;-96;5;21.053244;52.525517;468;373;95962.03;26
2019-06-13 14:57:15.759966;1172553;225;-81;6;21.053169;52.525799;470;373;95937.94;26
2019-06-13 14:57:20.759629;1177561;226;-83;6;21.053101;52.526085;471;376;95923.19;26
2019-06-13 14:57:25.760256;1182570;227;-94;6;21.053022;52.526363;472;375;95901.63;26
2019-06-13 14:57:30.760884;1187579;228;-86;6;21.052954;52.526630;474;375;95880.00;26
2019-06-13 14:57:35.759517;1192587;229;-87;6;21.052889;52.526894;476;375;95877.57;26
2019-06-13 14:57:40.759147;1197595;230;-100;6;21.052835;52.527168;478;375;95860.76;26
2019-06-13 14:57:45.759774;1202604;231;-85;6;21.052784;52.527443;480;376;95832.17;26
2019-06-13 14:57:50.760402;1207613;232;-85;6;21.052719;52.527714;482;377;95801.16;26
2019-06-13 14:57:55.760032;1212621;233;-88;6;21.052652;52.527985;485;376;95755.45;26
2019-06-13 14:58:00.758665;1217628;234;-83;5;21.052588;52.528252;488;379;95721.86;25
2019-06-13 14:58:05.759292;1222637;235;-84;6;21.052526;52.528511;492;381;95656.88;25
2019-06-13 14:58:10.759927;1227645;236;-85;6;21.052439;52.528763;495;383;95611.22;25
2019-06-13 14:58:15.760547;1232654;237;-85;6;21.052347;52.528996;499;385;95555.88;25
2019-06-13 14:58:20.759180;1237662;238;-91;6;21.052254;52.529217;504;387;95493.62;25
2019-06-13 14:58:25.759807;1242671;239;-86;6;21.052176;52.529442;510;388;95416.09;24
2019-06-13 14:58:30.760434;1247679;240;-85;6;21.052111;52.529678;517;388;95332.64;24
2019-06-13 14:58:35.759067;1252686;241;-85;6;21.052032;52.529919;522;391;95275.25;24
2019-06-13 14:58:40.758698;1257694;242;-88;6;21.051966;52.530159;527;387;95196.02;24
2019-06-13 14:58:45.759325;1262702;243;-93;6;21.051901;52.530388;531;390;95129.40;24
2019-06-13 14:58:50.760960;1267712;244;-84;6;21.051857;52.530617;536;394;95065.89;24
2019-06-13 14:58:55.760580;1272720;245;-84;6;21.051821;52.530849;539;396;95015.77;23
2019-06-13 14:59:00.760210;1277727;246;-83;6;21.051794;52.531078;543;394;94958.88;23
2019-06-13 14:59:05.760837;1282735;247;-82;6;21.051764;52.531303;547;392;94911.80;24
2019-06-13 14:59:10.761465;1287744;248;-103;6;21.051729;52.531528;550;391;94868.45;24
2019-06-13 14:59:15.760097;1292750;249;-85;6;21.051716;52.531776;555;393;94814.47;24
2019-06-13 14:59:20.759727;1297757;250;-84;6;21.051676;52.532032;561;391;94774.32;24
2019-06-13 14:59:25.757363;1302764;251;-112;5;21.051636;52.532284;566;394;94727.03;23
2019-06-13 14:59:30.759985;1307775;252;-88;6;21.051590;52.532528;570;395;94677.67;23
2019-06-13 14:59:35.759615;1312782;253;-84;6;21.051550;52.532772;574;398;94637.16;23
2019-06-13 14:59:40.759245;1317790;254;-83;6;21.051519;52.533005;578;397;94595.64;23
2019-06-13 14:59:45.760870;1322799;255;-88;6;21.051491;52.533237;582;401;94542.73;23
2019-06-13 14:59:50.761497;1327807;256;-81;6;21.051472;52.533463;586;400;94505.45;23
2019-06-13 14:59:55.761128;1332816;257;-85;6;21.051430;52.533672;589;400;94468.34;23
2019-06-13 15:00:00.760758;1337824;258;-103;6;21.051384;52.533882;593;398;94440.23;23
2019-06-13 15:00:05.759391;1342831;259;-84;6;21.051355;52.534111;597;403;94391.59;22
2019-06-13 15:00:10.760018;1347840;260;-80;6;21.051308;52.534370;601;399;94366.54;22
2019-06-13 15:00:15.759648;1352848;261;-82;6;21.051275;52.534630;604;399;94354.77;23
2019-06-13 15:00:20.760276;1357857;262;-84;6;21.051229;52.534870;607;397;94343.19;23
2019-06-13 15:00:25.762897;1362868;263;-82;6;21.051208;52.535103;610;398;94314.55;23
2019-06-13 15:00:30.761531;1367874;264;-82;6;21.051174;52.535336;612;397;94298.44;23
2019-06-13 15:00:35.760164;1372881;265;-80;6;21.051147;52.535591;614;397;94276.98;23
2019-06-13 15:00:40.759794;1377889;266;-104;6;21.051115;52.535851;617;394;94263.18;23
2019-06-13 15:00:45.760440;1382898;267;-94;6;21.051090;52.536098;619;398;94248.19;23
2019-06-13 15:00:50.761048;1387907;268;-93;6;21.051060;52.536343;621;395;94219.56;23
2019-06-13 15:00:55.759689;1392914;269;-80;6;21.051029;52.536591;624;397;94199.38;23
2019-06-13 15:01:00.761306;1397923;270;-83;6;21.050987;52.536850;628;395;94174.34;23
2019-06-13 15:01:05.759939;1402931;271;-101;6;21.050957;52.537102;631;394;94125.38;23
2019-06-13 15:01:10.760566;1407940;272;-84;6;21.050949;52.537354;634;394;94093.45;23
2019-06-13 15:01:15.761224;1412949;273;-83;6;21.050957;52.537601;636;392;94079.25;23
2019-06-13 15:01:20.761854;1417958;274;-82;6;21.050949;52.537846;639;395;94044.50;23
2019-06-13 15:01:25.760468;1422965;275;-81;6;21.050953;52.538094;642;396;94007.55;23
2019-06-13 15:01:30.761107;1427975;276;-97;6;21.050962;52.538338;646;391;93954.37;23
2019-06-13 15:01:35.759728;1432982;277;-96;6;21.050993;52.538555;649;390;93912.80;23
2019-06-13 15:01:40.760355;1437991;278;-102;6;21.050991;52.538765;652;388;93883.47;24
2019-06-13 15:01:45.759986;1442999;279;-88;6;21.050961;52.538986;655;389;93837.17;24
2019-06-13 15:01:50.760629;1448009;280;-82;6;21.050909;52.539207;659;392;93793.14;23
2019-06-13 15:01:55.760243;1453018;281;-99;6;21.050844;52.539413;663;393;93721.75;23
2019-06-13 15:02:00.758262;1458027;282;-89;6;21.050793;52.539616;667;388;93681.75;24
2019-06-13 15:02:05.760488;1463035;283;-95;6;21.050749;52.539864;673;387;93607.92;24
2019-06-13 15:02:10.761384;1468044;284;-88;6;21.050690;52.540127;677;386;93558.91;24
2019-06-13 15:02:15.762031;1473053;285;-83;6;21.050621;52.540375;681;384;93519.96;24
2019-06-13 15:02:20.760676;1478060;286;-85;6;21.050528;52.540607;685;383;93466.69;24
2019-06-13 15:02:25.761287;1483068;287;-86;6;21.050442;52.540855;691;387;93395.29;24
2019-06-13 15:02:30.761932;1488077;288;-92;6;21.050369;52.541092;696;382;93324.06;24
2019-06-13 15:02:35.760564;1493084;289;-85;6;21.050295;52.541336;701;384;93263.05;24
2019-06-13 15:02:40.760274;1498093;290;-87;6;21.050205;52.541607;708;382;93192.70;25
2019-06-13 15:02:45.761787;1503102;291;-88;6;21.050129;52.541866;715;384;93141.31;24
2019-06-13 15:02:50.761450;1508110;292;-93;6;21.050049;52.542110;721;387;93085.23;24
2019-06-13 15:02:55.761048;1513118;293;-85;6;21.049973;52.542362;728;391;93028.97;24
2019-06-13 15:03:00.761708;1518127;294;-89;6;21.049875;52.542610;733;389;92977.08;24
2019-06-13 15:03:05.760307;1523135;295;-86;6;21.049774;52.542870;739;390;92914.48;24
2019-06-13 15:03:10.761991;1528144;296;-82;6;21.049662;52.543106;744;386;92844.37;24
2019-06-13 15:03:15.760593;1533153;297;-87;6;21.049549;52.543339;748;385;92782.41;24
2019-06-13 15:03:20.760225;1538161;298;-83;6;21.049437;52.543579;753;383;92711.19;24
2019-06-13 15:03:25.760855;1543171;299;-87;6;21.049324;52.543816;758;382;92632.48;24
2019-06-13 15:03:30.762450;1548182;300;-86;6;21.049213;52.544052;766;387;92562.85;24
2019-06-13 15:03:35.761108;1553189;301;-89;6;21.049091;52.544296;774;385;92464.08;24
2019-06-13 15:03:40.760739;1558198;302;-89;6;21.048975;52.544540;784;386;92400.23;24
2019-06-13 15:03:45.761336;1563208;303;-84;6;21.048838;52.544788;795;386;92302.15;24
2019-06-13 15:03:50.761994;1568218;304;-84;6;21.048697;52.545048;806;384;92211.95;24
2019-06-13 15:03:55.762615;1573227;305;-85;6;21.048559;52.545303;816;385;92121.77;24
2019-06-13 15:04:00.762222;1578236;306;-84;6;21.048418;52.545555;827;383;92027.03;24
2019-06-13 15:04:05.761875;1583245;307;-94;6;21.048294;52.545815;837;383;91924.66;24
2019-06-13 15:04:10.760521;1588253;308;-84;6;21.048189;52.546101;848;382;91837.89;24
2019-06-13 15:04:15.762109;1593263;309;-92;6;21.048096;52.546398;858;379;91756.84;25
2019-06-13 15:04:20.761770;1598272;310;-108;6;21.047998;52.546700;867;377;91668.91;25
2019-06-13 15:04:25.762367;1603281;311;-101;6;21.047899;52.546997;875;374;91596.61;25
2019-06-13 15:04:30.761004;1608289;312;-90;6;21.047800;52.547283;883;374;91522.20;25
2019-06-13 15:04:35.761663;1613298;313;-95;6;21.047701;52.547577;892;373;91432.53;25
2019-06-13 15:04:40.761258;1618307;314;-91;6;21.047609;52.547863;901;372;91348.73;25
2019-06-13 15:04:45.760888;1623315;315;-86;6;21.047503;52.548145;909;372;91270.44;25
2019-06-13 15:04:50.761546;1628324;316;-103;6;21.047396;52.548428;918;375;91177.90;25
2019-06-13 15:04:55.762143;1633332;317;-87;6;21.047297;52.548717;929;374;91087.55;25
2019-06-13 15:05:00.761802;1638342;318;-90;6;21.047173;52.549007;939;371;90983.64;25
2019-06-13 15:05:05.762420;1643350;319;-89;6;21.047039;52.549290;950;371;90886.39;25
2019-06-13 15:05:10.762058;1648360;320;-86;6;21.046894;52.549561;958;369;90791.81;25
2019-06-13 15:05:15.761692;1653368;321;-87;6;21.046755;52.549831;965;369;90724.67;25
2019-06-13 15:05:20.761322;1658377;322;-85;6;21.046621;52.550133;970;372;90661.14;25
2019-06-13 15:05:25.761950;1663386;323;-89;6;21.046474;52.550419;975;369;90611.86;25
2019-06-13 15:05:30.762577;1668395;324;-84;6;21.046322;52.550713;979;368;90558.11;25
2019-06-13 15:05:35.761503;1673403;325;-84;6;21.046156;52.550995;982;368;90520.40;26
2019-06-13 15:05:40.761126;1678411;326;-89;6;21.045998;52.551258;984;364;90498.84;26
2019-06-13 15:05:45.761736;1683420;327;-97;6;21.045853;52.551525;985;362;90484.80;26
2019-06-13 15:05:50.763352;1688429;328;-88;6;21.045715;52.551811;988;362;90455.30;26
2019-06-13 15:05:55.761383;1693437;329;-88;6;21.045601;52.552067;990;361;90418.08;26
2019-06-13 15:06:00.761995;1698446;330;-85;6;21.045467;52.552326;993;362;90375.66;26
2019-06-13 15:06:05.761628;1703454;331;-87;6;21.045349;52.552578;996;363;90324.95;26
2019-06-13 15:06:10.764248;1708466;332;-97;6;21.045208;52.552826;1000;363;90277.92;26
2019-06-13 15:06:15.762888;1713474;333;-94;6;21.045071;52.553078;1004;362;90233.50;26
2019-06-13 15:06:20.763496;1718483;334;-106;6;21.044905;52.553333;1009;366;90176.63;26
2019-06-13 15:06:25.763142;1723491;335;-95;6;21.044727;52.553589;1015;367;90129.69;25
2019-06-13 15:06:30.765763;1728502;336;-87;6;21.044548;52.553864;1021;368;90065.78;25
2019-06-13 15:06:35.764378;1733509;337;-94;6;21.044367;52.554146;1027;369;90006.25;25
2019-06-13 15:06:40.763033;1738517;338;-88;6;21.044201;52.554440;1032;368;89940.50;25
2019-06-13 15:06:45.763656;1743525;339;-95;6;21.044033;52.554749;1037;366;89890.52;25
2019-06-13 15:06:50.765280;1748534;340;-85;6;21.043827;52.555058;1041;363;89827.51;26
